,Scale,Mean,Std,Mean - Std,Mean + Std
0,NH,-37.59887696622265,12.528802651401516,-50.12767961762417,-25.07007431482113
1,SH,-60.546644448888195,12.814916423219412,-73.3615608721076,-47.73172802566879
