,Scale,Mean,Std,Mean - Std,Mean + Std
0,NH,42.54333215611601,3.5227824021100678,39.02054975400594,46.066114558226076
1,SH,40.14960304656573,3.1133723362268375,37.03623071033889,43.26297538279257
