,Scale,Mean,Std,Mean - Std,Mean + Std
0,Provincial,17.789240168600045,11.794501747261952,5.994738421338093,29.583741915862
1,National,58.11054744892648,7.095543762784253,51.01500368614223,65.20609121171074
2,Hemispheric,90.4192283088963,14.615538370078815,75.80368993881748,105.0347666789751
3,Global,107.74525372904752,10.85323643375415,96.89201729529337,118.59849016280167
